"","entrez","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"72027",72027,2.19424757636934,2.74878975970563,6.75031310245004,1.91314948839295e-05,0.000451949394836505,2.98929956118489,"Slc39a4"
"14087",14087,2.61984289003375,2.87605609831415,6.68263800647722,2.11071547440667e-05,0.000473452413226103,2.87540213114442,"Fanca"
"218518",218518,2.60590236973631,2.94681054165976,6.65535649698315,2.19639170529605e-05,0.000484125167510443,2.48373299601633,"Marveld2"
"77011",77011,2.66975059095527,1.80713426018879,6.6496418595301,2.21480185189926e-05,0.000485506518711182,2.40818835012259,"Ticrr"
"52033",52033,3.1927220312282,3.04531091133256,6.64025403841937,2.24540216631534e-05,0.000488616434406757,2.86330561095321,"Pbk"
"14623",14623,2.76895525874147,1.65639372552191,6.62926936526595,2.28177867861083e-05,0.000490765674809399,2.50485282291409,"Gjb6"
"13040",13040,4.04101415414688,-1.03518439685308,6.55990045881698,2.5264465349489e-05,0.000523302241655733,1.70534665104664,"Ctss"
"71874",71874,5.50810605528714,0.0986085553259927,6.50936153385958,2.72216792510187e-05,0.000548655230964186,0.78102912126754,"Mab21l4"
"16792",16792,2.60821243837443,-0.944719799112104,6.48356216111192,2.82822885502927e-05,0.000559415880161234,1.95646289325996,"Laptm5"
"54392",54392,2.6951621821047,2.37011644216567,6.47061443079074,2.88310164080476e-05,0.000567863434085678,2.64738761858641,"Ncapg"
"14961",14961,2.23742972419284,1.41065487403599,6.44671863976227,2.98736080407775e-05,0.000578422792978642,2.78792961489397,"H2-Ab1"
"16071",16071,6.13534984172149,-2.8283925209255,6.44671389924904,2.98738187977725e-05,0.000578422792978642,0.995437413254146,"Igkc"
"195733",195733,2.05012292238513,4.11898238505758,6.43446711599762,3.0423597263477e-05,0.000584221787547984,2.74744275988014,"Grhl1"
"74107",74107,2.69044810015502,2.3258757608534,6.32907131624944,3.5623256320518e-05,0.000655401563317191,2.42481420976328,"Cep55"
"18787",18787,2.69083473532274,7.18520094942468,6.32090410043504,3.60637534153886e-05,0.00066047214451514,2.25087643407791,"Serpine1"
"21877",21877,2.13365668329849,2.64674032739212,6.27170922703327,3.8842185461244e-05,0.000693944548124977,2.49048557092672,"Tk1"
"12534",12534,2.27411002249957,3.49860045289125,6.25680467304276,3.9728079889068e-05,0.000703093588540683,2.52278623004868,"Cdk1"
"110763",110763,4.27081533877239,-3.75590526432503,6.2423447929799,4.06080307280828e-05,0.000710120978148732,0.457508947866948,"Igkj5"
"208213",208213,2.84395730827246,-2.74979755507133,6.23923965437174,4.07996728970131e-05,0.000711697605369089,1.69979494630626,"Tmem132c"
